codigo_ies,nombre_ies,tipo_finan,tipo,base,x,y,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,fcode,dpa_cab,da_dist,da_zona,longitud,latitud
1021.0,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,615152.309974,9762528.51554,90150.0,GUAYAQUIL,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,CABECERA CANTONAL,HA004,90150.0,09D10,8.0,-79.964489,-2.14811600004
1022.0,UNIVERSIDAD ANDINA SIMON BOLIVAR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779629.501555,9976622.71345,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.487834,-0.21129700004
1023.0,UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,513576.544458,9753162.26147,240250.0,LA LIBERTAD,2402.0,LA LIBERTAD,24.0,SANTA ELENA,2023.0,CABECERA CANTONAL,HA004,,24D02,5.0,-80.877899,-2.233202
1024.0,UNIVERSIDAD ESTATAL DE MILAGRO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,655351.924107,9762224.97846,91004.0,CORONEL ENRIQUE VALDEZ,910.0,MILAGRO,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,91050.0,09D17,5.0,-79.603053,-2.15057200003
1025.0,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,548489.525507,9850826.01817,130601.0,DOCTOR MIGUEL MORÁN LUCIO,1306.0,JIPIJAPA,13.0,MANABÍ,2023.0,PARROQUIA URBANA,HA004,130650.0,13D03,4.0,-80.564121,-1.34958200004
1026.0,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779876.029871,9978304.47107,170112.0,IÑAQUITO,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.485623,-0.19609600001
1027.0,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779187.237203,9976826.68852,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.491805,-0.20945400001
1028.0,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,621881.901254,9758810.38153,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D06,8.0,-79.903956,-2.18170599997
1029.0,UNIVERSIDAD CATOLICA DE CUENCA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,721643.773877,9681000.25135,10101.0,BELLAVISTA,101.0,CUENCA,1.0,AZUAY,2023.0,PARROQUIA URBANA,HA004,10150.0,01D01,6.0,-79.006037,-2.88430999999
1030.0,UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,623388.245139,9759468.94452,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D05,8.0,-79.890416,-2.17573899997
1031.0,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,699919.616881,9559092.85741,110104.0,VALLE,1101.0,LOJA,11.0,LOJA,2023.0,PARROQUIA URBANA,HA004,110150.0,11D01,7.0,-79.199339,-3.98698399999
1032.0,UNIVERSIDAD UTE,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779034.064513,9979637.10522,170127.0,RUMIPAMBA,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.493184,-0.18405199999
1033.0,UNIVERSIDAD DEL AZUAY,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,722217.347992,9677155.54048,10107.0,HUAYNACÁPAC,101.0,CUENCA,1.0,AZUAY,2023.0,PARROQUIA URBANA,HA004,10150.0,01D02,6.0,-79.000818,-2.91906299997
1034.0,UNIVERSIDAD POLITECNICA SALESIANA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,723509.575578,9680704.20694,10105.0,EL VECINO,101.0,CUENCA,1.0,AZUAY,2023.0,PARROQUIA URBANA,HA004,10150.0,01D01,6.0,-78.989254,-2.88695699998
1036.0,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,780048.39296,9989929.00822,170102.0,CARCELÉN,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D03,9.0,-78.484087,-0.091027
1037.0,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,626191.556148,9764223.9744,91602.0,LA PUNTILLA (SATÉLITE),916.0,SAMBORONDÓN,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,91650.0,09D23,8.0,-79.865242,-2.13270900004
1038.0,UNIVERSIDAD SAN FRANCISCO DE QUITO,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,785345.098787,9978198.1997,170157.0,CUMBAYÁ,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA RURAL,HA004,,17D09,9.0,-78.436522,-0.19704899999
