CODIGO_IES,NOMBRE_IES,TIPO_FINAN,TIPO,BASE,X,Y,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,DA_DIST,DA_ZONA,Longitud,Latitud
1020.000000,UNIVERSIDAD TECNICA DE COTOPAXI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,763442.811423,9898453.848780,"050101",ELOY ALFARO  (SAN FELIPE),"0501",LATACUNGA,"05",COTOPAXI,"2023",PARROQUIA URBANA,HA004,"050150","05D01",3.000000,-78.63288200000,-0.91793000000
1021.000000,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,615152.309974,9762528.515540,"090150",GUAYAQUIL,"0901",GUAYAQUIL,"09",GUAYAS,"2023",CABECERA CANTONAL,HA004,"090150","09D10",8.000000,-79.96448900000,-2.14811600004
1022.000000,UNIVERSIDAD ANDINA SIMON BOLIVAR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779629.501555,9976622.713450,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48783400000,-0.21129700004
1023.000000,UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,513576.544458,9753162.261470,"240250",LA LIBERTAD,"2402",LA LIBERTAD,"24",SANTA ELENA,"2023",CABECERA CANTONAL,HA004,,"24D02",5.000000,-80.87789900000,-2.23320200000
1024.000000,UNIVERSIDAD ESTATAL DE MILAGRO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,655351.924107,9762224.978460,"091004",CORONEL ENRIQUE VALDEZ,"0910",MILAGRO,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"091050","09D17",5.000000,-79.60305300000,-2.15057200003
1025.000000,UNIVERSIDAD ESTATAL DEL SUR DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,548489.525507,9850826.018170,"130601",DOCTOR MIGUEL MORÁN LUCIO,"1306",JIPIJAPA,"13",MANABÍ,"2023",PARROQUIA URBANA,HA004,"130650","13D03",4.000000,-80.56412100000,-1.34958200004
1026.000000,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779876.029871,9978304.471070,"170112",IÑAQUITO,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48562300000,-0.19609600001
1027.000000,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779187.237203,9976826.688520,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.49180500000,-0.20945400001
1028.000000,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,621881.901254,9758810.381530,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D06",8.000000,-79.90395600000,-2.18170599997
1029.000000,UNIVERSIDAD CATOLICA DE CUENCA,PARTICULAR COFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,721643.773877,9681000.251350,"010101",BELLAVISTA,"0101",CUENCA,"01",AZUAY,"2023",PARROQUIA URBANA,HA004,"010150","01D01",6.000000,-79.00603700000,-2.88430999999
