amie,nom_institucion_educativa,te_fin,nom_estado_ie,nom_sostenimiento,oferta_1,oferta_2,oferta_3,oferta_4,nom_lengua,regimen,jurisdiccion,da_zona,da_dist,nom_distrito,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,dpa_cab
17H04609,CENTRO DE EDUCACIÓN INICIAL “GROW HAPPY”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170350,MACHACHI,1703,MEJÍA,17,PICHINCHA,2023,CABECERA CANTONAL,
17H04610,UNIDAD EDUCATIVA “ISRAEL DEL VALLE”,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170503,SAN RAFAEL,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
14H00834,CENTRO DE EDUCACIÓN INICIAL PASITOS GIGANTES,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,14D01,MORONA,140150,MACAS,1401,MORONA,14,MORONA SANTIAGO,2023,CABECERA CANTONAL,
09H06804,UNIDAD EDUCATIVA MONTE DE LOS OLIVOS,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D24,DURAN,90750,ELOY ALFARO,907,DURÁN,9,GUAYAS,2023,CABECERA CANTONAL,90750.0
09H06807,UNIDAD EDUCATIVA PCEI CARLOS AURELIO RUBIRA INFANTE,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D08,MONTE SINAI,90115,PASCUALES,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
01H02075,UNIDAD EDUCATIVA SIMÓN BOLÍVAR,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,6,01D01,CUENCA 1,10104,EL SAGRARIO,101,CUENCA,1,AZUAY,2023,PARROQUIA URBANA,10150.0
17H04611,UNIDAD EDUCATIVA “JUNIOR SCHOOL”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170502,SAN PEDRO DE TABOADA,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
18H01009,"CENTRO DE EDUCACIÓN INICIAL ""CLUB DE EMOCIONES""",MATRIZ,ACTIVA,PARTICULAR,,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,3,18D02,AMBATO 2,180103,HUACHI CHICO,1801,AMBATO,18,TUNGURAHUA,2023,PARROQUIA URBANA,180150.0
14H00835,CENTRO DE EDUCACIÓN INICIAL BB HAPPY,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,14D01,MORONA,140150,MACAS,1401,MORONA,14,MORONA SANTIAGO,2023,CABECERA CANTONAL,
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170351,ALOAG,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170351,ALOAG,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170351,ALOAG,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,3,06D02,CHUNCHI - ALAUSI,60550,CHUNCHI,605,CHUNCHI,6,CHIMBORAZO,2023,CABECERA CANTONAL,
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,3,06D02,CHUNCHI - ALAUSI,60550,CHUNCHI,605,CHUNCHI,6,CHIMBORAZO,2023,CABECERA CANTONAL,
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,3,06D02,CHUNCHI - ALAUSI,60550,CHUNCHI,605,CHUNCHI,6,CHIMBORAZO,2023,CABECERA CANTONAL,
06H00854,"UNIDAD EDUCATIVA ""CHUNCHI""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,3,06D02,CHUNCHI - ALAUSI,60550,CHUNCHI,605,CHUNCHI,6,CHIMBORAZO,2023,CABECERA CANTONAL,
24H00529,UNIDAD EDUCATIVA A DISTANCIA SEMIPRESENCIAL JESÚS CARPINTERO,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,5,24D01,SANTA ELENA,240156,SAN JOSÉ DE ANCÓN,2401,SANTA ELENA,24,SANTA ELENA,2023,PARROQUIA RURAL,
18H01011,ESCUELA DE EDUCACIÓN BÁSICA “WAIKIKI TUNGURAHUA ACADEMY” ,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,3,18D02,AMBATO 2,180103,HUACHI CHICO,1801,AMBATO,18,TUNGURAHUA,2023,PARROQUIA URBANA,180150.0
18H00551,"UNIDAD EDUCATIVA ""FRAY BARTOLOMÉ DE LAS CASAS - SALASACA""",ESTABLECIMIENTO,ACTIVA,FISCOMISIONAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,3,18D04,PELILEO - PATATE,180758,SALASACA,1807,SAN PEDRO DE PELILEO,18,TUNGURAHUA,2023,PARROQUIA RURAL,
17H04604,UNIDAD EDUCATIVA “LUCÍA POLANCO DE GUAYASAMÍN”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170353,CUTUGLAHUA,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04603,CENTRO DE EDUCACIÓN INICIAL “ESTRELLITAS DE AMOR”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170501,SANGOLQUÍ,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
17H04602,CENTRO DE EDUCACIÓN INICIAL “BABY´S PLANET”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170501,SANGOLQUÍ,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
17H04601,UNIDAD EDUCATIVA “MILITAR COMANDANTE RUMIÑAHUI”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170350,MACHACHI,1703,MEJÍA,17,PICHINCHA,2023,CABECERA CANTONAL,
17H04600,UNIDAD EDUCATIVA “CEREVEC SCHOOL”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170501,SANGOLQUÍ,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
17H04599,UNIDAD EDUCATIVA PARTICULAR “NIKOLA TESLA”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D02,CALDERON,170155,CALDERÓN,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04584,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “KIDS CLUB KINDER GARDEN”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D05,NORTE,170112,IÑAQUITO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04574,UNIDAD EDUCATIVA PARTICULAR “23 DE ABRIL”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D05,NORTE,170129,SAN ISIDRO DEL INCA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04569,"UNIDAD EDUCATIVA PARTICULAR “PCEI PADRE JUAN BOTASSO""",MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D05,NORTE,170127,RUMIPAMBA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04557,UNIDAD EDUCATIVA PARTICULAR “PCEI MARIE CURIE”,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D05,NORTE,170127,RUMIPAMBA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04553,"UNIDAD EDUCATIVA PARTICULAR BILINGÜE “ACADEMIA MILITAR GENERAL MIGUEL ITURRALDE""",MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D07,QUITUMBE,170126,QUITUMBE,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H03316,"UNIDAD EDUCATIVA ""ALBERTO EINSTEIN """,ESTABLECIMIENTO,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D09,TUMBACO,170175,PIFO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
13H05479,UNIDAD EDUCATIVA PARTICULAR EMMA WILLARD,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D02,MANTA - JARAMIJO - MONTECRISTI,130801,LOS ESTEROS,1308,MANTA,13,MANABÍ,2023,PARROQUIA URBANA,130850.0
13H05478,UNIDAD EDUCATIVA PARTICULAR CIUDAD DE SAMARIA,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D02,MANTA - JARAMIJO - MONTECRISTI,130801,LOS ESTEROS,1308,MANTA,13,MANABÍ,2023,PARROQUIA URBANA,130850.0
13H05477,UNIDAD EDUCATIVA PARTICULAR EMMI PIKLER,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D02,MANTA - JARAMIJO - MONTECRISTI,130802,MANTA,1308,MANTA,13,MANABÍ,2023,PARROQUIA URBANA,130850.0
13H05475,UNIDAD EDUCATIVA PARTICULAR “LUZ DEL PACÍFICO”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D02,MANTA - JARAMIJO - MONTECRISTI,132150,JARAMIJÓ,1321,JARAMIJÓ,13,MANABÍ,2023,CABECERA CANTONAL,
13H05474, UNIDAD EDUCATIVA PARTICULAR “EBENEZER”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D07,CHONE - FLAVIO ALFARO,130301,CHONE,1303,CHONE,13,MANABÍ,2023,PARROQUIA URBANA,130350.0
13H05473,UNIDAD EDUCATIVA “ROSATHÉ GILER DE LOOR”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D01,PORTOVIEJO,130106,ANDRÉS DE VERA,1301,PORTOVIEJO,13,MANABÍ,2023,PARROQUIA URBANA,130150.0
11H00729,ESCUELA DE EDUCACIÓN BÁSICA VILCABAMBA,MATRIZ,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,7,11D04,CELICA - PINDAL - PUYANGO,110451,CRUZPAMBA,1104,CELICA,11,LOJA,2023,PARROQUIA RURAL,
10H00817,CENTRO DE EDUCACIÓN INICIAL JIM ELLIOT,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,1,10D02,OTAVALO - ANTONIO ANTE,100202,ATUNTAQUI,1002,ANTONIO ANTE,10,IMBABURA,2023,PARROQUIA URBANA,100250.0
09H06806,UNIDAD EDUCATIVA ERNST HAECKEL,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06805,UNIDAD EDUCATIVA WILLIAM TYNDALE,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06803,UNIDAD EDUCATIVA EDWIN GORDON,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D07,LOS VERGELES,90115,PASCUALES,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06802,UNIDAD EDUCATIVA ANNE SULLIVAN,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D07,LOS VERGELES,90115,PASCUALES,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06798,UNIDAD EDUCATIVA PCEI “MIGUEL DE SALCEDO”,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,5,09D17,MILAGRO,91003,CHIRIJOS,910,MILAGRO,9,GUAYAS,2023,PARROQUIA URBANA,91050.0
09H06796,UNIDAD EDUCATIVA INTEROCEÁNICO,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,5,09D19,DAULE - NOBOL - SANTA LUCIA,90650,DAULE,906,DAULE,9,GUAYAS,2023,CABECERA CANTONAL,90650.0
09H06793,UNIDAD EDUCATIVA PROF. MARIO NAVAS JIMENEZ,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,5,09D19,DAULE - NOBOL - SANTA LUCIA,90650,DAULE,906,DAULE,9,GUAYAS,2023,CABECERA CANTONAL,90650.0
09H06789,UNIDAD EDUCATIVA PARTICULAR DR. LUIS ALFONSO SALTOS ESPINOZA,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06787,Unidad Educativa Particular “Latinoamericana”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,8,09D01,XIMENA 1,90114,XIMENA,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06786,UNIDAD EDUCATIVA ALAN TURING,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06779,"UNIDAD EDUCATIVA PARTICULAR ""PROVINCIA DE GALÁPAGOS""",MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,8,09D01,XIMENA 1,90114,XIMENA,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06776,UNIDAD EDUCATIVA SANTANDER,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
07H01559,UNIDAD EDUCATIVA PARTICULAR ALEMAN GUTENBERG EL ORO,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,7,07D02,MACHALA,70105,EL CAMBIO,701,MACHALA,7,EL ORO,2023,PARROQUIA URBANA,70150.0
02H00932,UNIDAD EDUCATIVA PCEI CBO. WLADIMIR ENRIQUE ANALUISA MONTERO,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,5,02D01,GUARANDA,20150,GUARANDA,201,GUARANDA,2,BOLÍVAR,2023,CABECERA CANTONAL,20150.0
01H02074,UNIDAD EDUCATIVA WALDORF,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,6,01D01,CUENCA 1,10163,SAN JOAQUÍN,101,CUENCA,1,AZUAY,2023,PARROQUIA RURAL,
17H04593,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “EUROAMERICANO”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D04,CENTRO,170113,ITCHIMBIA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04592, UNIDAD EDUCATIVA PARTICULAR “MAMA LUNA”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D07,QUITUMBE,170111,GUAMANÍ,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
03H00690,UNIDAD EDUCATIVA NUEVO AMANECER,MATRIZ,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,6,03D02,CAÑAR - EL TAMBO - SUSCAL,30362,VENTURA,303,CAÑAR,3,CAÑAR,2023,PARROQUIA RURAL,
09H06801,UNIDAD EDUCATIVA “SAN JUAN 3:16”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D01,XIMENA 1,90114,XIMENA,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
09H06799,UNIDAD EDUCATIVA PRESCO DELTATORREMAR,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,5,09D19,DAULE - NOBOL - SANTA LUCIA,90650,DAULE,906,DAULE,9,GUAYAS,2023,CABECERA CANTONAL,90650.0
09H06797,CENTRO DE EDUCACIÓN INICIAL KINDERLAND,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,5,09D13,BALZAR - COLIMES - PALESTINA,90450,BALZAR,904,BALZAR,9,GUAYAS,2023,CABECERA CANTONAL,
09H06800,UNIDAD EDUCATIVA ESPECIALIZADA HELEN KELLER,MATRIZ,ACTIVA,PARTICULAR,,ESPECIALIZADA,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D05,TARQUI,90112,TARQUI,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
17H04591,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “SMART EARTH KIDS”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D08,LOS CHILLOS,170151,ALANGASÍ,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04595,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “EL VALLE DEL SABER”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D06,ELOY ALFARO,170107,CHILIBULO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04587,UNIDAD EDUCATIVA PARTICULAR “ACADEMIA AERONÁUTICA MAYOR PEDRO TRAVERSARI”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D07,QUITUMBE,170108,CHILLOGALLO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
17H04590,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “LA CASITA SOBRE LA ROCA”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D08,LOS CHILLOS,170156,CONOCOTO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04596,UNIDAD EDUCATIVA PARTICULAR “PCEI INNOVACIÓN ANDINA”,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D08,LOS CHILLOS,170156,CONOCOTO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04597,UNIDAD EDUCATIVA PARTICULAR “PCEI INNOVACIÓN ANDINA”,ESTABLECIMIENTO,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D08,LOS CHILLOS,170156,CONOCOTO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA RURAL,
17H04594,CENTRO DE EDUCACIÓN INICIAL PARTICULAR “FAMILY IKIDS”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D05,NORTE,170112,IÑAQUITO,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
04H00217,UNIDAD EDUCATIVA “EL ÁNGEL”,ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,1,04D03,MIRA - ESPEJO,40301,EL ÁNGEL,403,ESPEJO,4,CARCHI,2023,PARROQUIA URBANA,40350.0
08H02247,"UNIDAD EDUCATIVA ""CARLOS ANDRADE MARIN""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,1,08D04,QUININDE,80455,LA UNIÓN,804,QUININDÉ,8,ESMERALDAS,2023,PARROQUIA RURAL,
08H01271,"UNIDAD EDUCATIVA FISCOMISIONAL ""PIERRE TEILHARD DE CHARDIN""",ESTABLECIMIENTO,ACTIVA,FISCOMISIONAL,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,1,08D03,ATACAMES - MUISNE,80650,ATACAMES,806,ATACAMES,8,ESMERALDAS,2023,CABECERA CANTONAL,
08H01271,"UNIDAD EDUCATIVA FISCOMISIONAL ""PIERRE TEILHARD DE CHARDIN""",ESTABLECIMIENTO,ACTIVA,FISCOMISIONAL,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,1,08D03,ATACAMES - MUISNE,80650,ATACAMES,806,ATACAMES,8,ESMERALDAS,2023,CABECERA CANTONAL,
17H01013,"UNIDAD EDUCATIVA PARTICULAR ""LICEO INTERNACIONAL""",ESTABLECIMIENTO,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,9,17D05,NORTE,170114,JIPIJAPA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
23H00847,UNIDAD EDUCATIVA PARTICULAR PCEI LICEO ECUADOR,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,4,23D01,STO DOMINGO DE LOS TSACHILAS 1,230106,SANTO DOMINGO DE LOS COLORADOS,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSÁCHILAS,2023,PARROQUIA URBANA,230150.0
17H04589,UNIDAD EDUCATIVA FISCOMISIONAL “JOSÉ MARÍA VÉLAZ S.J.” – IRFEYAL MATRIZ,MATRIZ,ACTIVA,FISCOMISIONAL,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,9,17D05,NORTE,170127,RUMIPAMBA,1701,DISTRITO METROPOLITANO DE QUITO,17,PICHINCHA,2023,PARROQUIA URBANA,170150.0
01H02072,CENTRO DE EDUCACIÓN INICIAL LA LUZ,MATRIZ,ACTIVA,MUNICIPAL,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,01D01,CUENCA 1,10105,EL VECINO,101,CUENCA,1,AZUAY,2023,PARROQUIA URBANA,10150.0
01H02073,CENTRO DE EDUCACIÓN INICIAL MI CASITA MÁGICA,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,01D02,CUENCA 2,10112,SUCRE,101,CUENCA,1,AZUAY,2023,PARROQUIA URBANA,10150.0
23H00453,UNIDAD EDUCATIVA MARTÍNEZ MERA,MATRIZ,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,23D01,STO DOMINGO DE LOS TSACHILAS 1,230151,ALLURIQUÍN,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSÁCHILAS,2023,PARROQUIA RURAL,
13H05476,CENTRO DE EDUCACIÓN INICIAL LEV VIGOTSKY,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,4,13D01,PORTOVIEJO,130108,18 DE OCTUBRE,1301,PORTOVIEJO,13,MANABÍ,2023,PARROQUIA URBANA,130150.0
